Year,Country,Inflation_Rate,GDP_Per_Capita,GDP_Growth_Rate,Unemployment_Rate,Cost of Living Index,Local Purchasing Power Index
1970,Switzerland,3.615986786,4044.420682,6.377406519,4.081617315780769,41.9950826950827,32.158404236041726
1970,Chile,40.165977038886794,931.1267372,1.82896697,4.74980897173855,38.13154507159507,27.96775128482627
1970,China,4.650510543243243,113.1625778,19.3,4.103712693124262,39.1861936119436,29.38877010281385
1970,Cote d'Ivoire,8.205190543,265.7403582,10.37503184,3.72762561154646,41.180612659562655,27.172788263125764
1970,Cameroon,5.858085809,178.4061667,3.092068234,4.5267972205475795,37.89928585434172,25.814129756926086
1970,"Congo, Dem. Rep.",8.025284045,332.6202482853125,-0.245056575,5.362500681025007,32.533087351537354,28.755499347874363
1970,"Congo, Rep.",3.689075980138889,196.8238117,6.358470187,3.6263485952427623,36.42003477633478,30.037229961704956
1970,Colombia,6.908622758,344.3325998,6.207796961,3.737398103557556,39.163984920634924,27.872598683261177
1970,Costa Rica,4.652297493,530.7063376,7.503134343,3.186575421044144,39.017626151626146,29.85849995768121
1970,Caribbean small states,4.071327765755102,709.9327389,1.078585387,4.5191977741681715,37.090132317682325,26.11873274225776
1970,Germany,3.450249364,2761.166833,5.103144545,3.9965387053317927,41.65108686591188,34.81608155871908
1970,Denmark,6.514841417,3464.455156,1.596841747,5.0179309702602195,33.391637168387156,33.70771283855035
1970,Dominican Republic,3.816666666,331.8907091,18.22668288,4.057988088908081,38.782636180486186,29.620844263375503
1970,Algeria,6.599999999,352.5338404,8.86265711,3.642108929136589,38.559315329115336,29.564989108807865
1970,East Asia & Pacific (excluding high income),5.472188779255319,113.8319801,13.44169049,4.10831041234348,38.895061144411144,30.466220856798433
1970,Early-demographic dividend,3.812664908,215.3002986,8.289922,3.604852889966631,38.40640760905762,30.13270083180707
1970,East Asia & Pacific,3.8243258886216216,320.2438084,3.891123438,4.144891436457021,35.54501551226552,29.213917972305463
1970,Europe & Central Asia,4.23741734890625,1384.314136,4.984959216,3.3869487218711187,35.23749292504882,31.9756538156288
1970,Ecuador,5.17127612,463.7724284,6.87192933,3.192439191144802,38.48320400155401,31.360756918775678
1970,"Egypt, Arab Rep.",3.762898596,231.2174024,5.598515038,3.602548495839021,36.704537950937954,26.80498314324564
1970,Euro area,4.1406484,2215.089405,5.59703132,4.134801445494418,39.88080094480683,31.675984540459552
1970,Spain,5.731144843,1212.289326,4.244970767,3.3460056379628953,35.7819258254817,29.339573879470212
1970,Ethiopia,10.12195122,107.5783521,3.48272874,4.652923044770569,37.33284185814185,27.394261763930523
1970,European Union,4.50608893,1888.62756,5.508305287,4.094510809952576,37.81148830744419,33.068418706293734
1970,Fragile and conflict affected situations,6.81138648639394,214.4787957,12.2177344,4.086071132956291,39.83812997557997,28.43952706668332
1970,Finland,2.740420431,2465.644819,7.470432644,3.964570021399281,40.53360723720722,34.55575793944618
1970,Fiji,4.124178563,416.7253857,12.70271113,4.102705264552833,39.27713776778777,28.269135834304574
1970,France,5.299641246,2870.15751,6.108679758,3.945802783316214,37.76065297610886,34.25631098346099
1970,Gabon,3.812664908,542.2083275,8.679342176,3.280440734257756,38.48323618048618,29.510592498473738
1970,United Kingdom,6.366568417,2347.544318,2.708581505,4.782052162989123,37.8075015344133,33.56167612248862
1970,Georgia,12.315761764862069,2523.3884321544865,12.05207582,4.6394099372726325,36.18311477966478,26.877190662115655
