Country Name,Country Code,Gini index [SI.POV.GINI] - 2021 [YR2021],Price level index (GDP) [PA.NUS.GDP.PLI] - 2021 [YR2021],Consumer price index (2010 = 100) [FP.CPI.TOTL] - 2021 [YR2021],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS] - 2021 [YR2021],UHC service coverage index [SH_UHC_SCI] - 2021 [YR2021]
Madagascar,MDG,36.8,30.6491387389061,203.221994008737,5.5311886434036,34
Malawi,MWI,..,36.5874225353305,496.827527221711,4.22250421289741,55
Malaysia,MYS,40.7,36.5595643833825,123.05449091818,6.92196634868479,79
Maldives,MDV,..,53.4107254140886,135.424149976868,0.00370182242347212,68
Mali,MLI,35.7,36.7378295492288,113.489249057224,18.4178821970492,42
Malta,MLT,31.6,67.010167453152,115.887166319179,0,82
Marshall Islands,MHL,..,93.311940340638,..,0,66
Mauritania,MRT,..,33.3721789119602,143.168520868821,11.4487520863931,39
Mauritius,MUS,..,39.8854047693561,138.635551188743,0.00271526913227865,76
Mexico,MEX,..,49.6283273304286,154.676672089174,3.64307338835023,79
"Micronesia, Fed. Sts.",FSM,..,88.8964333686323,120.401378078118,0.0178477556025635,64
Moldova,MDA,25.7,33.634626751924,181.261454671574,0.235942049452034,70
Monaco,MCO,..,..,..,0,85
Mongolia,MNG,..,30.5404215226533,217.990721824726,33.1372162654312,71
Montenegro,MNE,34.3,39.3293574456737,119.249434576437,0.637197671980386,69
Morocco,MAR,..,43.9037408071231,113.419774613788,0.391702933228196,65
Mozambique,MOZ,..,34.991452048044,200.799346249151,14.9074768559672,47
Myanmar,MMR,..,23.9979534458426,..,8.6785038087485,50
Namibia,NAM,..,45.4505143063639,167.298294033139,4.03058059383138,61
Nepal,NPL,..,27.5558176768439,205.436334049118,0.498936909947826,54
Netherlands,NLD,25.7,87.7043335833319,120.523715504927,0.340536679351668,85
New Caledonia,NCL,..,..,..,16.7918673249355,..
New Zealand,NZL,..,103.526948649031,120.779210747308,1.49411356490814,89
Nicaragua,NIC,..,30.0370143555786,177.047156631849,3.84080893833151,71
Niger,NER,32.9,38.3906873713313,116.809397403471,6.40907047167716,36
Nigeria,NGA,..,36.7331562115859,354.296242254442,8.55295423830806,47
Northern Mariana Islands,MNP,..,..,..,..,..
Norway,NOR,29.1,104.594924330617,126.06098995566,10.0482763904291,88
Oman,OMN,..,50.1129422603256,115.379503467114,29.2115792686173,73
Pakistan,PAK,..,27.1146827863952,219.078900139702,1.43561633294011,55
Palau,PLW,..,82.4384959173551,124.584804918221,0,73
Panama,PAN,50.9,50.1403868198395,122.136031309897,3.6647948599442,83
Papua New Guinea,PNG,..,65.5680586987692,170.839243117812,27.3866812481734,30
Paraguay,PRY,42.9,38.795709359863,153.370941306755,1.34701587848651,79
Peru,PER,40.1,44.6724889831707,138.576404455789,12.7247082349187,68
Philippines,PHL,40.7,39.336967325284,137.936373936063,1.97263339590791,68
Poland,POL,28.5,45.3865049733907,123.925480416605,1.03024380772929,82
Portugal,PRT,34.6,63.9238020868207,112.010549789253,0.291415692065373,83
Puerto Rico (US),PRI,..,80.4228127002716,..,0,..
Qatar,QAT,..,61.4142810905374,115.041180060887,27.2897873992471,84
Romania,ROU,33.9,39.7184377821259,133.455469478653,1.144376067244,76
