Country,Year,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Weight_Scheme,Economic_Weight,Institutional_Weight,Quality_of_Life_Weight,Sustainability_Weight,Sensitivity_EoLI_Score,Sensitivity_EoLI_Rank,Baseline_Rank,Rank_Change_vs_Baseline
Sweden,1972,-0.409,-0.20573,0.872,0.04371,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.15807399999999996,4,4,0
Thailand,1972,-0.72,-0.45328,0.045,0.04453,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.27089050000000003,73,73,0
Tunisia,1972,-0.833,-0.16753,-0.712,-0.34021,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.550364,99,99,0
Finland,1972,-0.833,-0.36653,0.177,0.04115,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.23176,62,62,0
Portugal,1972,-0.953,-0.53154,-0.094,-0.87393,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.5351245,97,97,0
Qatar,1972,-0.411,0.23903,0.083,0.2314,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.0207675,14,14,0
Saudi Arabia,1972,-0.761,-0.39512,-1.108,-1.1453,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.8486250000000001,147,147,0
Singapore,1972,-0.755,-0.36271,0.141,0.20229,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.199734,55,55,0
Bahrain,1972,-0.811,-0.39821,-0.087,-0.52991,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.412239,85,85,0
Belgium,1972,-0.804,-0.33667,0.469,0.36009,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.06700400000000004,27,27,0
Austria,1972,-0.875,-0.57599,0.359,0.1333,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.21710250000000003,60,60,0
Australia,1972,-0.858,-0.34754,0.427,0.4029,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.09150000000000003,32,32,0
United Arab Emirates,1972,-0.206,-1.41307,-0.55,-0.55951,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6811940000000001,116,116,0
Cyprus,1972,0.38,-0.70742,0.22,-0.59228,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.09369700000000002,34,34,0
Jordan,1972,-0.881,-0.54388,-0.536,-0.80588,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.664702,111,111,0
Poland,1972,-0.146,-0.10099,0.45,0.19413,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.12487200000000001,8,8,0
Brazil,1972,-0.492,-1.18283,-0.434,-0.7149,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6778424999999999,115,115,0
Argentina,1972,-0.306,-0.34153,-0.141,0.03491,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.20599599999999998,59,59,0
Spain,1972,-0.883,-0.12597,0.323,0.34582,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.0873195,31,31,0
Ecuador,1972,-0.909,0.06078,-1.025,-0.42105,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6339625,108,108,0
