Country,Year,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Weight_Scheme,Economic_Weight,Institutional_Weight,Quality_of_Life_Weight,Sustainability_Weight,Sensitivity_EoLI_Score,Sensitivity_EoLI_Rank,Baseline_Rank,Rank_Change_vs_Baseline
Upper middle income,1975,-0.50338,-0.68812,-0.375,-0.24488,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.449157,97,100,-3
Uzbekistan,1975,-0.979618462,-0.76293,-0.544,-0.69678,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7208557693,126,126,0
St. Vincent and the Grenadines,1975,-0.83992,-0.22687,-0.047,-0.41695,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.33088399999999996,87,84,3
British Virgin Islands,1975,-0.537727255,-0.18531,0.035,0.05313,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.11156308824999998,54,64,-10
Virgin Islands (U.S.),1975,-0.729815385,-0.47847,-0.097,-0.50198,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.42785730774999997,96,93,3
Vanuatu,1975,-0.979618462,-0.62053,-1.265,-0.78385,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8845067692999999,183,197,-14
World,1975,-0.729815385,-0.75539,-0.685,-0.70811,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.71977230775,125,124,1
Samoa,1975,-0.344276799,-0.81046,-0.606,-0.74529,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.6698665198499999,119,112,7
Kosovo,1975,0.09379,-0.34933,-0.079,-0.22016,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.17652849999999998,69,54,15
"Yemen, Rep.",1975,-0.729815385,-0.65138,-1.172,-1.04873,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9125053077499999,197,183,14
Zambia,1975,-0.729815385,-0.64936,-1.223,-0.88691,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.87610330775,176,178,-2
Zimbabwe,1975,-0.729815385,-0.70984,-0.784,-0.81852,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7639803077499999,130,132,-2
Aruba,1976,-0.576311714,-0.2978,0.39,0.21071,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.015073757100000015,37,45,-8
Africa Eastern and Southern,1976,-0.860982571,-0.57921,-1.939,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-1.0526953856499999,237,237,0
Afghanistan,1976,-0.860982571,-0.57921,-1.966,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-1.05944538565,238,238,0
Africa Western and Central,1976,-0.860982571,-0.57921,-1.976,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-1.0619453856499999,239,239,0
Angola,1976,-0.860982571,-0.57921,-1.89,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-1.04044538565,236,236,0
Albania,1976,-0.860982571,-0.1949,-0.031,-0.34408,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.29859138565,86,90,-4
Arab World,1976,-0.256495143,-0.62132,-1.262,-0.78385,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7755252714499999,146,147,-1
Armenia,1976,-0.586257143,-0.26554,-0.082,0.00614,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.18625857144999997,77,81,-4
Antigua and Barbuda,1976,-0.256495143,-0.64549,0.199,-0.01497,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.18686227144999998,78,64,14
Azerbaijan,1976,-0.5658,-0.86622,-1.131,-0.84675,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8815109999999999,187,181,6
Burundi,1976,-0.523757255,-0.57921,-1.663,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9331115882499998,212,213,-1
Benin,1976,-0.464141176,-0.57921,-1.773,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9516691763999998,216,216,0
Burkina Faso,1976,-0.530637255,-0.57921,-1.688,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9403935882499999,214,214,0
Bangladesh,1976,-0.450388529,-0.57921,-1.414,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.85985627935,177,183,-6
Bulgaria,1976,-0.536666667,-0.47988,0.483,0.2585,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.026164000049999983,42,40,2
"Bahamas, The",1976,-0.546398059,-0.20661,-0.026,-0.20865,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.21303770885,81,76,5
Belarus,1976,-0.585205882,0.1812,0.079,-0.01717,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.018821882300000002,40,52,-12
Belize,1976,-0.464141176,-0.36412,-0.138,-0.38944,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.3301891764,92,86,6
Bermuda,1976,-0.462477647,-0.25918,0.348,0.06372,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.041009647050000014,46,44,2
Bolivia,1976,-0.506148236,-0.63514,-1.254,-0.83516,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8305122354000001,164,171,-7
Barbados,1976,-0.554500411,-0.49241,0.26,0.12903,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.12718906165,63,63,0
Brunei Darussalam,1976,-0.533737843,0.12598,0.085,0.09046,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.006121323549999995,34,46,-12
Bhutan,1976,-0.506908236,-0.60126,-1.28,-0.81108,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8197382354,161,168,-7
Botswana,1976,-0.50486951,-0.6552,-0.45,-0.65453,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.5811494265,110,109,1
Central African Republic,1976,-0.446446667,-0.57921,-1.571,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.89851500005,190,192,-2
Central Europe and the Baltics,1976,-0.7275,-0.48691,0.183,0.04021,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.19738500000000003,80,78,2
Channel Islands,1976,-0.73044,-0.18507,0.66,0.28292,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.08478900000000002,19,21,-2
Cameroon,1976,-0.446446667,-0.5802,-1.291,-0.8921,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.83140700005,165,167,-2
"Congo, Dem. Rep.",1976,-0.95161,-0.57921,-1.67,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9990394999999999,231,235,-4
"Congo, Rep.",1976,-0.88169,-0.65016,-1.222,-0.88603,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8986105,191,196,-5
Comoros,1976,-0.95161,-0.5802,-1.291,-0.8921,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9071815000000001,199,206,-7
Cabo Verde,1976,-0.523757255,-0.59457,-1.118,-0.99014,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8334765882499999,166,158,8
Caribbean small states,1976,-0.446446667,-0.45455,-0.112,-0.2986,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.32091200005,90,85,5
Cuba,1976,-0.048428718,-0.44937,0.275,0.07727,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.05014430769999998,48,33,15
Curacao,1976,-0.715216154,-0.48691,0.183,0.04021,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.19554242310000003,79,77,2
Djibouti,1976,-0.361807051,-0.65756,-1.218,-0.88423,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.82130805765,162,157,5
Dominica,1976,-0.361807051,0.0638,0.104,0.18073,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.04508794234999999,25,32,-7
Dominican Republic,1976,-0.361807051,-0.72967,-0.615,-0.60322,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.60788805765,117,112,5
East Asia & Pacific (excluding high income),1976,-0.886056471,-0.65738,-0.854,-0.64243,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7363514706500001,134,148,-14
Early-demographic dividend,1976,-0.378777051,-0.65756,-1.216,-0.99764,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.85737655765,175,165,10
East Asia & Pacific,1976,-0.889708235,-0.7712,-0.588,-0.64492,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.70529223525,128,129,-1
Europe & Central Asia (excluding high income),1976,-0.65958,-0.49621,-0.161,-0.22206,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.35466800000000004,97,95,2
Europe & Central Asia,1976,-0.051137058,-0.23173,0.049,0.04049,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.0527925587,49,42,7
Euro area,1976,-0.052197058,-0.51691,0.372,0.17139,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.01848555869999998,39,27,12
Eritrea,1976,-0.052197058,-0.57921,-1.695,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8703775587,181,182,-1
Estonia,1976,-0.036823529,-0.37297,0.139,0.0461,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.06883452935,53,41,12
Ethiopia,1976,-0.052197058,-0.57921,-1.671,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8643775587,179,178,1
European Union,1976,-0.65958,-0.10402,0.478,0.25459,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.06573399999999997,21,26,-5
Fragile and conflict affected situations,1976,-0.65958,-0.66197,-1.205,-0.99528,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.897362,189,186,3
Fiji,1976,-0.65958,-0.70417,-0.524,-0.76907,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.6719090000000001,124,122,2
"Micronesia, Fed. Sts.",1976,-0.935513429,-0.76232,-0.594,-0.65437,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7138340143499999,130,134,-4
Gabon,1976,-0.89901,-0.64025,-1.143,-1.05349,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9287235,210,195,15
Ghana,1976,-0.30916,-0.66197,-1.2,-0.99432,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8432609999999999,169,156,13
Gibraltar,1976,-0.76411,-0.3307,0.318,0.20404,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.07311449999999997,54,59,-5
Guinea,1976,-0.77991,-0.65991,-1.196,-0.96325,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9029345,195,189,6
"Gambia, The",1976,-0.88947,-0.65991,-1.19,-0.96325,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9178685,202,198,4
Guinea-Bissau,1976,-0.77991,-0.65138,-1.172,-1.04873,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9200195,204,190,14
Equatorial Guinea,1976,-0.858204706,-0.57921,-1.694,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9910287059,229,231,-2
Grenada,1976,-0.76135,0.14647,0.121,0.07848,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.016467499999999993,38,54,-16
Guatemala,1976,-0.76135,-0.65374,-1.176,-1.04873,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9189434999999999,203,188,15
Guam,1976,-0.76135,-0.24157,0.228,0.03838,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.1181595,61,65,-4
Guyana,1976,-0.50681,-0.69485,-0.909,-0.72187,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7282875,133,131,2
High income,1976,-0.50681,-0.41016,0.366,0.07448,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.08522550000000001,56,53,3
Honduras,1976,-0.50681,-0.67831,-1.001,-0.81293,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7736434999999999,144,146,-2
Heavily indebted poor countries (HIPC),1976,-0.50681,-0.57921,-1.379,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8595694999999999,176,184,-8
Croatia,1976,0.019794872,-0.55043,0.293,0.18011,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.034876769200000005,45,31,14
Haiti,1976,-0.50681,-0.63892,-1.255,-0.82128,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8278315,163,170,-7
IBRD only,1976,-0.7922,-0.69295,-0.958,-0.6725,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7679649999999999,142,154,-12
IDA & IBRD total,1976,-0.7922,-0.60483,-1.013,-0.80389,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.794696,153,163,-10
IDA total,1976,-0.38718,-0.63785,-1.158,-1.08805,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8653469999999999,180,164,16
IDA blend,1976,-0.78876,-0.58648,-1.058,-0.82893,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8074370000000001,155,166,-11
IDA only,1976,-0.38718,-0.65944,-1.183,-0.96525,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.841234,167,159,8
Isle of Man,1976,-0.77618,-0.39582,-0.117,-0.24066,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.33662099999999995,94,94,0
Iraq,1976,-0.72358,-0.6167,-0.496,-0.54581,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.58129,111,117,-6
Jamaica,1976,-0.76866,-0.15896,0.018,-0.08069,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.182694,74,79,-5
Kazakhstan,1976,-0.572171429,-0.8253,-0.854,-0.67128,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.74829971435,136,142,-6
Kenya,1976,-0.586822858,-0.65659,-1.18,-0.99264,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8777924287000001,183,177,6
Kyrgyz Republic,1976,0.2397,-0.58648,-1.057,-0.83538,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.6548529999999999,121,114,7
Cambodia,1976,-0.446446667,-0.57921,-1.365,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8470150000499999,171,175,-4
Kiribati,1976,-0.586822858,-0.64025,-1.142,-1.05275,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8814234287,186,174,12
St. Kitts and Nevis,1976,-0.76286,-0.40536,0.143,0.17837,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.146776,65,74,-9
Latin America & Caribbean (excluding high income),1976,-0.063768601,-0.72228,-0.823,-0.86105,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.6903142901499999,127,120,7
Lao PDR,1976,0.2397,-0.57921,-1.633,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8110929999999998,158,150,8
Lebanon,1976,-0.103918919,-1.20152,-1.649,-0.79918,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-1.02804783785,235,217,18
Liberia,1976,-0.103597313,-0.57921,-1.64,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.86433759695,178,180,-2
Libya,1976,-0.098826829,-0.72967,-0.62,-0.67198,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.59031902435,113,106,7
St. Lucia,1976,-0.76286,-0.3674,-0.091,-0.5404,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.40951899999999997,100,99,1
Latin America & Caribbean,1976,-0.059539412,-0.73749,-0.65,-0.86569,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.6523849118,120,110,10
Least developed countries: UN classification,1976,-0.067944189,-0.57921,-1.609,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8512396283499999,173,173,0
Low income,1976,-0.10565764,-0.57921,-1.609,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.856896646,174,176,-2
Sri Lanka,1976,-0.760599091,-0.34933,-0.079,-0.22016,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.30468686365,88,91,-3
Lower middle income,1976,-0.10565764,-0.64936,-1.224,-0.88691,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.782729646,152,144,8
Low & middle income,1976,-0.098826829,-0.63785,-1.15,-1.05545,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.81031402435,157,139,18
Lesotho,1976,-0.10265849,-0.62566,-1.126,-1.10844,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8171287734999999,159,136,23
Late-demographic dividend,1976,0.2397,-0.74485,-0.644,-0.82848,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.597044,114,104,10
Lithuania,1976,-0.098558824,-0.20441,0.464,0.19446,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.09823117640000001,17,14,3
Luxembourg,1976,-0.74483,-0.18362,0.335,0.06665,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.0630655,51,55,-4
Latvia,1976,-0.067264706,-0.402,0.285,0.27824,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.024032294099999976,28,24,4
St. Martin (French part),1976,-0.76286,-0.39186,0.297,-0.09178,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.18527100000000002,76,72,4
Moldova,1976,-0.771171429,-0.5119,-0.119,-0.40478,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.42042971435,102,102,0
Madagascar,1976,-0.74483,-0.57921,-1.62,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9555225,219,219,0
Maldives,1976,-0.74483,-0.69479,-0.922,-0.72294,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7675435,141,151,-10
Middle East & North Africa,1976,-0.933844338,-0.57921,-1.304,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9048746506999998,198,205,-7
Marshall Islands,1976,-0.73589,-0.6833,-0.989,-0.71759,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7779005,151,155,-4
Middle income,1976,-0.770587137,-0.57921,-1.387,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.90113607055,194,202,-8
North Macedonia,1976,-0.534142857,-0.49184,-0.101,0.07783,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.22957442855,82,84,-2
Mali,1976,-0.73589,-0.57921,-1.691,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9719315,222,223,-1
Myanmar,1976,-0.85936,-0.57921,-1.419,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.922452,207,211,-4
Middle East & North Africa (excluding high income),1976,-0.773126909,-0.57921,-1.382,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9002670363499998,193,201,-8
Montenegro,1976,-0.2765,-0.09639,0.427,-0.05625,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.019482999999999986,30,20,10
Mongolia,1976,-0.704022727,-0.73432,-1.388,-0.87036,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.93400740905,213,210,3
Mozambique,1976,-0.85936,-0.57921,-1.731,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-1.000452,232,234,-2
Mauritania,1976,-0.93546,-0.62053,-1.267,-0.79099,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.8805249999999999,185,200,-15
Mauritius,1976,-0.93546,-0.72909,-0.638,-0.79148,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7559899999999999,137,145,-8
Malawi,1976,-0.74483,-0.57921,-1.647,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9622724999999999,220,221,-1
North America,1976,-0.541547143,-0.17833,0.69,0.3979,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.15713892855,9,12,-3
Namibia,1976,-0.74394,-0.57921,-1.393,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.898639,192,199,-7
New Caledonia,1976,-0.64484,-0.36732,-0.085,-0.23406,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.29839,85,87,-2
Niger,1976,-0.80298,-0.57921,-1.691,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.981995,226,227,-1
Nigeria,1976,-0.80368,-0.57921,-1.652,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9723499999999998,224,224,0
Nauru,1976,-0.72392,-0.69309,-0.928,-0.70131,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7589079999999999,139,149,-10
OECD members,1976,-0.48178,-0.2304,0.433,0.17394,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.019045000000000013,31,30,1
Oman,1976,-0.48178,-0.63661,-1.241,-0.8943,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.84179,168,169,-1
Other small states,1976,-0.88398,-0.65659,-1.179,-0.99264,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9221159999999999,206,197,9
Papua New Guinea,1976,-0.80083,-0.57921,-1.424,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9149224999999999,201,209,-8
Pre-demographic dividend,1976,-0.79507,-0.57921,-1.706,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9845584999999999,227,228,-1
Puerto Rico,1976,0.238127193,-0.22731,0.489,0.13365,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.12987107895,11,6,5
"Korea, Dem. People's Rep.",1976,0.2397,-0.37079,-0.276,-0.10977,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.177213,71,62,9
Paraguay,1976,-0.78781,-0.45128,-0.175,-0.29446,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.38564350000000003,99,100,-1
Pacific island small states,1976,-0.89056,-0.68945,-0.939,-0.67002,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7761750000000001,148,162,-14
Post-demographic dividend,1976,-0.80397,-0.22731,0.489,0.13365,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.0264435,43,51,-8
French Polynesia,1976,-0.70142,-0.48663,-0.204,-0.1317,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.341712,96,96,0
Romania,1976,-0.560815789,-0.21828,0.418,0.14907,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.0003853683499999913,36,37,-1
Rwanda,1976,-0.364819123,-0.57921,-1.725,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.92477086845,208,207,1
South Asia,1976,-0.915439091,-0.57921,-1.383,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9218638636499998,205,212,-7
Sudan,1976,0.06053,-0.69479,-0.917,-0.72294,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.6454895,118,116,2
Senegal,1976,-0.306851961,-0.57921,-1.676,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9038257941499999,197,193,4
Solomon Islands,1976,0.303090909,-0.62566,-1.133,-1.10844,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7580163636499999,138,123,15
Sierra Leone,1976,-0.373700049,-0.57921,-1.671,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.91260300735,200,203,-3
El Salvador,1976,-0.866896471,-0.57293,-1.093,-1.01488,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.87962747065,184,185,-1
Somalia,1976,-0.915439091,-0.57921,-1.689,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9983638636499998,230,233,-3
Serbia,1976,-0.514529412,-0.26709,-0.059,-0.20038,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.23217041179999998,83,82,1
Sub-Saharan Africa (excluding high income),1976,0.06053,-0.57921,-1.39,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7772185,150,141,9
South Sudan,1976,-0.836759091,-0.57921,-1.685,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9855618636499999,228,230,-2
Sub-Saharan Africa,1976,0.06053,-0.57921,-1.378,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7742184999999999,145,138,7
Small states,1976,0.303090909,-0.73707,-0.89,-0.59874,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.5777793636499999,109,105,4
Sao Tome and Principe,1976,-0.307356127,-0.65138,-1.171,-1.04873,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.84888641905,172,153,19
Suriname,1976,0.06053,-0.45997,-0.237,-0.3857,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.3038715,87,80,7
Slovenia,1976,0.303090909,0.1822,0.493,0.828,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.47177363635,1,1,0
Eswatini,1976,-0.052197058,-0.66197,-1.198,-0.96371,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7950335586999999,154,135,19
Sint Maarten (Dutch part),1976,-0.36954152,-0.13538,0.641,0.19307,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,0.122125772,13,10,3
Turks and Caicos Islands,1976,-0.96654,-0.23757,-0.015,-0.10599,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.251799,84,88,-4
Chad,1976,-0.73044,-0.57921,-1.671,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9661139999999999,221,222,-1
East Asia & Pacific (IDA & IBRD countries),1976,-0.889708235,-0.64859,-0.781,-0.61376,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.7074112352499999,129,143,-14
Europe & Central Asia (IDA & IBRD countries),1976,-0.051137058,-0.3821,0.24,0.05068,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.04709655869999999,47,34,13
Togo,1976,-0.90571,-0.57921,-1.427,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9314045,211,215,-4
Tajikistan,1976,0.444675714,-0.50286,-0.207,-0.14029,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.17799364289999997,72,57,15
Turkmenistan,1976,-0.96654,-0.68,-0.372,-0.24649,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.5159279999999999,106,113,-7
Latin America & the Caribbean (IDA & IBRD countries),1976,-0.063768601,-0.70404,-0.861,-0.74689,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.66009429015,122,118,4
Timor-Leste,1976,-0.890527619,-0.57921,-1.599,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.97212714285,223,225,-2
Middle East & North Africa (IDA & IBRD countries),1976,-0.933844338,-0.57921,-1.298,-0.88345,Scenario_2_15_30_25_30,0.15,0.3,0.25,0.3,-0.9033746507,196,204,-8
