Year,Country,Ease_of_Living_Rank
1985,St. Martin (French part),102
1985,Isle of Man,103
1985,St. Lucia,104
1985,St. Vincent and the Grenadines,105
1985,Latin America & the Caribbean (IDA & IBRD countries),106
1985,Sri Lanka,107
1985,Latin America & Caribbean (excluding high income),108
1985,Uruguay,109
1985,Virgin Islands (U.S.),110
1985,Turkmenistan,111
1985,Trinidad and Tobago,112
1985,Latin America & Caribbean,113
1985,"Korea, Dem. People's Rep.",114
1985,Chile,116
1985,China,117
1985,Ecuador,117
1985,Tajikistan,118
1985,Central Europe and the Baltics,119
1985,Thailand,120
1985,Greenland,121
1985,Paraguay,122
1985,Botswana,123
1985,Mauritius,124
1985,Pacific island small states,125
1985,St. Kitts and Nevis,126
1985,Turks and Caicos Islands,127
1985,Mexico,128
1985,Tonga,129
1985,Tunisia,130
1985,Colombia,131
1985,"Micronesia, Fed. Sts.",132
1985,Algeria,133
1985,Other small states,134
1985,Vanuatu,135
1985,Kyrgyz Republic,136
1985,Solomon Islands,137
1985,Eswatini,138
1985,Samoa,140
1985,IBRD only,141
1985,Saudi Arabia,142
1985,Cabo Verde,143
1985,World,145
1985,Seychelles,146
1985,Early-demographic dividend,147
1985,Honduras,147
1985,Lao PDR,148
1985,South Africa,149
1985,Cameroon,150
1985,Djibouti,151
1985,Guyana,152
1985,Low & middle income,152
1985,Fragile and conflict affected situations,153
1985,Philippines,154
1985,Marshall Islands,155
1985,Central African Republic,157
1985,IDA total,157
1985,IDA only,157
1985,Cambodia,158
1985,Guatemala,159
1985,Tuvalu,160
1985,South Asia,161
1985,Zimbabwe,162
1985,IDA & IBRD total,163
1985,Middle East & North Africa,165
1985,Eritrea,166
1985,Bangladesh,167
1985,Sao Tome and Principe,168
1985,Ghana,169
1985,Iraq,170
1985,Least developed countries: UN classification,171
1985,Togo,172
1985,Senegal,173
1985,Lower middle income,174
1985,Sub-Saharan Africa (IDA & IBRD countries),175
1985,Bolivia,176
1985,Sub-Saharan Africa (excluding high income),177
