Year,Country,Economic_Rank
1972,Costa Rica,112
1972,Ireland,113
1972,Iraq,114
1972,Tonga,115
1972,South Asia,116
1972,Somalia,116
1972,Trinidad and Tobago,117
1972,South Africa,118
1972,High income,119
1972,Guyana,119
1972,Honduras,119
1972,Haiti,119
1972,Heavily indebted poor countries (HIPC),119
1972,Marshall Islands,120
1972,Mali,120
1972,Namibia,121
1972,Australia,122
1972,Nauru,123
1972,Panama,124
1972,Malta,125
1972,Papua New Guinea,126
1972,Italy,127
1972,"Congo, Rep.",128
1972,Norway,129
1972,Pakistan,130
1972,Paraguay,131
1972,Algeria,133
1972,Austria,134
1972,"Gambia, The",135
1972,East Asia & Pacific,136
1972,East Asia & Pacific (excluding high income),136
1972,East Asia & Pacific (IDA & IBRD countries),136
1972,Gabon,137
1972,Iceland,138
1972,Jordan,139
1972,Georgia,140
1972,Nepal,140
1972,Spain,141
1972,St. Vincent and the Grenadines,141
1972,St. Martin (French part),141
1972,Sri Lanka,141
1972,St. Lucia,141
1972,St. Kitts and Nevis,141
1972,Indonesia,142
1972,India,143
1972,Pacific island small states,144
1972,Other small states,144
1972,"Micronesia, Fed. Sts.",145
1972,Middle East & North Africa,145
1972,Mauritania,145
1972,Middle East & North Africa (IDA & IBRD countries),145
1972,Mauritius,145
1972,Uruguay,146
1972,Philippines,146
1972,Netherlands,147
1972,Luxembourg,148
1972,Madagascar,148
1972,Maldives,148
1972,Malawi,148
1972,Mexico,149
1972,Ecuador,150
1972,Peru,151
1972,Channel Islands,152
1972,Central Europe and the Baltics,152
1972,Chad,152
1972,Post-demographic dividend,153
1972,South Asia (IDA & IBRD),153
1972,Pre-demographic dividend,153
1972,South Sudan,154
1972,Uzbekistan,156
1972,Vanuatu,157
1972,Malaysia,158
1972,Comoros,159
1972,"Congo, Dem. Rep.",159
1972,Portugal,160
1972,Turkmenistan,161
1972,Turks and Caicos Islands,161
1972,Colombia,162
1972,Chile,163
1973,Tajikistan,1
1973,Cyprus,2
1973,Curacao,3
1973,Slovenia,4
1973,Solomon Islands,4
1973,Small states,4
1973,Cuba,5
1973,Croatia,6
1973,Estonia,7
1973,Europe & Central Asia,8
1973,Europe & Central Asia (IDA & IBRD countries),8
1973,Euro area,9
1973,Eswatini,9
1973,Ethiopia,9
1973,Eritrea,9
1973,Latvia,11
1973,Latin America & Caribbean (excluding high income),12
1973,Latin America & the Caribbean (IDA & IBRD countries),12
1973,Least developed countries: UN classification,12
1973,Latin America & Caribbean,13
1973,Poland,14
1973,Lithuania,15
1973,Libya,16
1973,Low & middle income,16
1973,Lower middle income,16
1973,Low income,16
1973,Lesotho,18
1973,Liberia,18
1973,Lebanon,19
1973,United Arab Emirates,20
1973,Kosovo,21
1973,"Korea, Dem. People's Rep.",21
